Orphanet;MeSH;OMIM;MedDRA;UMLS;ICD-10
ORPHA:10;D007713;-;10048230;C2936741;Q98.8
ORPHA:11;C535319;-;-;C0265497;Q97.1
ORPHA:13;C535325;261640;-;C0878676;E70.1
ORPHA:14;D000012;200100;-;C0000744;E78.6
ORPHA:15;D000130;100800;10000452;C0001080;Q77.4
ORPHA:16;C538165;303700;-;C2931753;H53.5
ORPHA:17;-;245400;-;-;E71.1
ORPHA:18;-;611590;10045224;C0259810;N25.8
ORPHA:19;-;-;-;C2746066;E72.8
ORPHA:20;-;246450;-;C0268601;E71.1
ORPHA:22;-;271980;-;C0268631;E72.8
ORPHA:23;D056807;207900;10058299;C0268547;E72.2
ORPHA:24;C538191;606812;-;C0342770;E88.8
ORPHA:25;C536833;231670;-;C0268595;E72.3
ORPHA:26;C537359;277400;-;C1848561;E71.1
ORPHA:27;-;251000;-;C1855114;E71.1
ORPHA:28;-;251110;-;-;E71.1
ORPHA:29;D054078;610377;10072219;C1959626;E88.8
ORPHA:30;C537136;258900;10052621;C0220987;E79.8
ORPHA:31;C536582;203740;-;C2752074;E88.8
ORPHA:32;C536835;231900;-;C0398746;D55.1
ORPHA:33;C538167;243500;-;C0268575;E71.1
ORPHA:34;-;-;-;-;-
ORPHA:35;D056693;606054;-;C0268579;E71.1
ORPHA:36;-;200990;-;C0796147;Q04.0
ORPHA:37;-;201100;-;C0221036;E83.2
ORPHA:38;C535653;101850;-;C0545044;Q82.8
ORPHA:39;-;-;-;C0406779;L81.4
ORPHA:40;C535661;602875;-;C1864356;Q77.8
ORPHA:41;C535729;127400;-;C0406775;L81.8
ORPHA:42;C536038;201450;-;C0220710;E71.3
ORPHA:43;D000326;302700;10051260;C0162309;E71.3
ORPHA:44;D018901;614867;-;C0282525;E71.3
ORPHA:45;C538234;612874;-;C2931781;G71.3
ORPHA:46;C538235;103050;-;C0268126;E79.8
ORPHA:47;C537409;300755;10060360;C0221026;D80.0
ORPHA:48;C535984;300985;10010670;C0403814;Q55.4
ORPHA:49;C536649;-;-;C1387005;Q55.5
ORPHA:50;D058540;304050;10054935;C0175713;Q04.0
ORPHA:51;C535607;114100;-;C0393591;G31.8
ORPHA:52;D016738;610205;10053870;C0085280;Q44.7
ORPHA:53;-;166600;-;C3179239;Q78.2
ORPHA:54;C537863;300500;-;C0342684;E70.3
ORPHA:55;D016115;-;-;C0078918;E70.3
ORPHA:56;D000474;203500;10001689;C2931645;E70.2
ORPHA:57;-;611881;-;C0272066;E74.0
ORPHA:58;D038261;203450;-;C0270726;E75.2
ORPHA:59;C537047;300523;-;C0795889;G31.8
ORPHA:60;D019896;613490;10001806;C0221757;E88.0
ORPHA:61;D008363;248500;-;C0024748;E77.1
ORPHA:62;-;608099;-;C1842550;G71.0
ORPHA:63;D009394;301050;10001843;C1567741;Q87.8
ORPHA:64;D056769;203800;10068783;C0268425;Q87.8
ORPHA:65;D057130;604393;10070667;C0339527;H35.5
ORPHA:67;C531613;-;-;C2930799;A06.9
ORPHA:68;-;-;-;-;B60.2
ORPHA:69;D000686;-;10002022;C0002726;E85.3
